time,value,n
2008-05-26,30.166666666666668,12
2008-05-27,48.833333333333336,12
2008-05-28,33.333333333333336,12
2008-05-29,32.083333333333336,12
2008-05-30,25.916666666666668,12
2008-05-31,15.5,12
2008-06-01,8.666666666666666,12
2008-06-02,48.25,12
2008-06-03,39.25,12
2008-06-04,21.46153846153846,13
2008-06-05,37.38461538461539,13
2008-06-06,23.692307692307693,13
2008-06-07,4.461538461538462,13
2008-06-08,36.833333333333336,12
2008-06-09,25.5,12
2008-06-10,22.833333333333332,12
2008-06-11,36,12
2008-06-12,38.583333333333336,12
2008-06-13,16.083333333333332,12
2008-06-14,14.25,12
2008-06-15,44.916666666666664,12
2008-06-16,20.833333333333332,12
2008-06-17,49.583333333333336,12
2008-06-18,14.666666666666666,12
2008-06-19,60.69230769230769,13
2008-06-20,17.76923076923077,13
2008-06-21,23,13
